variant,micro_f1,macro_f1,weighted_f1,n_train,n_test
full_loginsight,0.8,0.7616353644165893,0.801629837422961,400,100
without_fols,0.84,0.7986496183033466,0.8404350498888732,400,100
kmeans_replace,0.8,0.775429716884732,0.8064370784904579,400,100
agglomerative_replace,0.8,0.7766666666666667,0.8031619047619049,400,100
